Project_ID,Description,Type,Location,Site_Conditions,Square_Footage,Floors,Units,Foundation,Framing,Exterior_Finish,Roofing,HVAC,Plumbing,Electrical,Fire_Protection,Permitting_Fees,cost_estimation
1,1,1,4,6,26777,15,60,1,1,3,1,2,6,131,1,2976.63,113000
2,2,3,1,3,61693,1,85,2,1,1,3,1,2,102,0,2845.31,88000
3,1,1,2,9,4788,9,73,1,3,3,2,2,6,775,0,900.08,108000
4,2,2,5,1,77463,10,7,2,1,1,1,2,1,774,0,936.4,37000
5,2,2,1,8,42434,10,69,1,3,1,2,1,2,876,1,3122.83,107000
6,1,1,5,6,28511,2,47,1,2,1,1,2,6,623,0,4086.43,61000
7,2,2,2,2,17710,1,82,2,3,2,1,2,3,301,0,2324.97,85000
8,1,2,3,2,59238,14,3,1,2,2,2,1,3,139,0,2249.35,45000
9,2,2,4,4,84971,12,51,2,1,2,1,2,2,265,0,466.67,87000
10,1,1,4,1,39552,15,54,3,1,3,3,2,3,420,1,1266.31,99000
11,2,2,1,3,66264,11,52,2,2,2,3,1,1,373,0,437.3,85000
12,2,1,3,5,24856,5,36,3,3,3,1,2,6,769,0,3527.31,51000
13,1,3,2,6,21381,13,51,3,2,3,3,2,3,157,1,4680.93,98000
14,2,1,3,3,55331,2,61,3,3,3,3,2,3,459,1,1758.63,67000
15,2,3,5,7,12264,9,43,1,1,3,2,2,6,700,1,1083.87,78000
16,2,1,1,1,8278,1,66,2,3,2,3,1,6,769,0,1553.31,69000
17,2,2,1,3,99386,7,74,2,1,1,1,1,3,682,1,4361.77,95000
18,1,2,2,7,95769,9,98,3,3,2,2,2,3,614,1,3410.39,133000
19,2,2,1,10,26665,5,4,3,2,2,2,2,6,677,0,1242.55,27000
20,2,2,5,3,91591,3,48,2,3,2,1,1,2,214,1,1693.3,57000
21,1,3,3,4,19045,10,43,1,2,1,1,2,2,916,0,4772.3,73000
22,1,3,4,1,65907,9,65,2,2,3,3,1,2,912,0,795.89,92000
23,2,2,4,1,67972,14,68,2,1,3,2,1,4,117,1,2592.76,110000
24,1,2,5,5,24494,9,99,1,2,1,1,2,2,345,0,3581.89,126000
25,1,3,4,6,18508,2,91,3,1,3,1,1,5,880,0,215.83,105000
26,1,3,4,3,84745,5,8,3,1,3,1,2,1,245,0,4283.41,23000
27,2,3,1,2,65340,2,85,3,1,3,3,2,3,656,0,3074.64,91000
28,1,2,4,1,49746,6,13,1,2,1,1,1,5,960,0,3994.47,31000
29,1,3,5,8,86297,12,84,1,1,1,1,1,5,485,1,2622.71,128000
30,1,3,3,4,90744,13,6,3,1,1,3,1,1,122,0,3084.58,45000
31,2,2,1,10,23542,13,90,3,1,3,1,2,5,352,1,2651.03,137000
32,2,1,1,4,36579,15,59,3,1,2,3,2,2,672,1,2612.21,104000
33,2,2,5,10,25466,7,51,2,3,2,2,2,1,211,0,4746.86,80000
34,2,3,3,1,10440,8,88,2,2,3,1,1,4,361,1,4627.62,112000
35,1,2,1,10,2420,2,25,1,3,2,3,1,6,698,1,2551.28,39000
36,1,2,5,5,8952,11,65,1,3,3,1,1,3,256,0,523.67,98000
37,1,1,2,4,44953,4,37,1,3,2,3,2,5,118,1,3762.82,49000
38,2,3,4,1,3952,9,89,3,1,1,2,2,2,560,1,3573.37,116000
39,2,2,4,8,52575,1,34,1,1,1,1,1,1,511,0,1584.04,45000
40,2,1,3,8,28069,6,84,3,1,1,1,2,2,949,0,3474.8,110000
41,1,1,3,9,76704,14,72,3,3,3,1,1,5,754,1,4183.23,122000
42,2,1,4,7,53567,13,68,1,3,3,1,2,2,146,1,1680.97,115000
43,1,1,1,9,83838,6,53,3,1,2,3,1,2,639,0,3902.79,79000
44,1,1,4,7,50497,11,95,3,1,1,1,1,1,454,1,2367.56,136000
45,2,3,2,10,49677,6,11,1,1,2,3,2,6,742,0,3563.29,37000
46,1,3,4,2,44098,4,68,3,3,3,2,2,1,211,1,2242.36,80000
47,1,2,1,6,95649,14,54,3,3,2,3,2,6,756,1,3622.59,104000
48,1,3,1,1,94707,14,79,1,3,1,1,2,6,453,1,1755.1,121000
49,1,2,3,1,91738,6,29,1,3,1,3,2,6,524,1,274.3,47000
50,1,2,2,9,26930,9,72,2,1,2,2,1,4,492,0,3048.5,107000
51,2,3,3,7,84247,1,49,3,2,2,1,2,3,526,1,2736.41,60000
52,2,3,1,9,54897,12,63,3,3,3,2,1,3,302,0,3583.98,107000
53,1,1,3,3,65217,14,89,3,3,2,3,1,2,124,0,1905.25,131000
54,2,3,5,7,26873,9,26,3,1,1,2,2,1,105,0,4518.34,61000
55,2,2,3,2,98911,4,17,1,1,2,3,1,3,710,0,4789.4,29000
56,2,2,1,1,3284,6,69,2,2,2,1,1,3,366,1,2742.24,87000
57,1,3,3,5,16343,15,39,2,2,2,3,2,6,880,1,199.26,84000
