Project_ID,Description,Type,Location,Site_Conditions,Square_Footage,Floors,Units,Foundation,Framing,Exterior_Finish,Roofing,HVAC,Plumbing,Electrical,Fire_Protection,Permitting_Fees,cost_estimation
1,Projet Renovation,Industrial,"Ekaterinburg, Russia",5,84844,7,100,Crawlspace,Wood,Siding,Tiles,central system electric,Flexi_Pipe,869,False,1468.88,134000
2,Projet Renovation,Residential,"Ekaterinburg, Russia",10,39521,8,39,Slab,Steel,Brick,Metal,central system electric,ABS_Pipe,270,False,3705.9,82500
3,Projet Renovation,Industrial,"Saint-peterburg, Russia",9,4802,9,76,Slab,Concrete,Siding,Metal,central system electric,Braided_Pipe,881,True,2177.41,121700
4,Projet Renovation,Residential,"Ekaterinburg, Russia",8,47391,1,93,Basement,Steel,Brick,Shingles,central system electric,Rigid_Copper_Pipe,322,True,3605.89,117500
5,Projet New building,Residential,"kazan, Russia",4,42148,7,66,Basement,Concrete,Stucco,Shingles,central system gaz,PEX_Pipe,476,True,2349.77,99700
6,Projet New building,Commercial,"Ekaterinburg, Russia",9,63585,10,58,Slab,Concrete,Stucco,Tiles,central system electric,Rigid_Copper_Pipe,255,False,4557.0,106200
7,Projet New building,Commercial,"Tambov, Russia",9,55581,6,16,Basement,Concrete,Stucco,Tiles,central system gaz,PVC_Pipe,781,True,2390.86,52700
8,Projet New building,Industrial,"Ekaterinburg, Russia",1,29054,5,76,Crawlspace,Wood,Stucco,Metal,central system gaz,ABS_Pipe,790,True,942.21,104500
9,Projet New building,Industrial,"kazan, Russia",4,56575,10,19,Basement,Steel,Brick,Shingles,central system gaz,PVC_Pipe,973,False,2623.97,62500
10,Projet New building,Residential,"Tambov, Russia",2,14823,1,68,Slab,Concrete,Siding,Tiles,central system gaz,Rigid_Copper_Pipe,390,False,2512.68,81200
11,Projet New building,Commercial,"Ekaterinburg, Russia",2,77234,7,3,Crawlspace,Concrete,Siding,Tiles,central system gaz,Rigid_Copper_Pipe,891,False,1056.74,36200
12,Projet Renovation,Residential,"Ekaterinburg, Russia",10,71333,3,66,Basement,Wood,Siding,Shingles,central system electric,PEX_Pipe,905,True,4553.73,96500
13,Projet New building,Commercial,"Saint-peterburg, Russia",7,84842,10,68,Crawlspace,Concrete,Brick,Tiles,central system electric,Braided_Pipe,329,True,3251.0,119200
14,Projet Renovation,Residential,"Saint-peterburg, Russia",5,23014,8,42,Slab,Concrete,Stucco,Metal,central system electric,PEX_Pipe,344,True,3197.68,76700
15,Projet New building,Commercial,"Tambov, Russia",8,55009,6,25,Crawlspace,Wood,Siding,Metal,central system gaz,Rigid_Copper_Pipe,748,True,245.35,64500
16,Projet New building,Industrial,"Tambov, Russia",4,51830,4,7,Slab,Wood,Stucco,Tiles,central system electric,PVC_Pipe,943,True,1521.7,30000
17,Projet Renovation,Industrial,"kazan, Russia",5,42367,3,89,Crawlspace,Wood,Siding,Metal,central system gaz,Rigid_Copper_Pipe,456,True,644.47,111500
18,Projet Renovation,Residential,"kazan, Russia",5,88966,3,70,Slab,Steel,Stucco,Shingles,central system gaz,Flexi_Pipe,723,True,4098.9,91000
19,Projet Renovation,Commercial,"kazan, Russia",6,8055,5,85,Slab,Steel,Siding,Tiles,central system electric,Braided_Pipe,238,True,1186.49,118000
20,Projet New building,Residential,"Ekaterinburg, Russia",1,68210,10,62,Crawlspace,Wood,Brick,Shingles,central system electric,Rigid_Copper_Pipe,778,True,2242.04,108000
21,Projet Renovation,Residential,"Moscow, Russia",4,45333,7,72,Basement,Concrete,Brick,Tiles,central system electric,PVC_Pipe,339,True,2599.29,104700
22,Projet New building,Commercial,"Moscow, Russia",1,60332,1,56,Basement,Steel,Siding,Shingles,central system gaz,PVC_Pipe,866,True,581.5,71500
23,Projet New building,Commercial,"kazan, Russia",7,9847,3,73,Slab,Steel,Siding,Shingles,central system electric,PEX_Pipe,606,True,1551.24,102000
24,Projet New building,Industrial,"kazan, Russia",6,34049,9,27,Basement,Concrete,Siding,Shingles,central system electric,Braided_Pipe,490,True,2911.02,74700
25,Projet Renovation,Commercial,"Ekaterinburg, Russia",2,38827,4,41,Crawlspace,Wood,Brick,Shingles,central system gaz,Rigid_Copper_Pipe,492,True,2649.19,69000
26,Projet Renovation,Residential,"Ekaterinburg, Russia",5,10757,9,66,Crawlspace,Wood,Siding,Shingles,central system electric,Flexi_Pipe,974,True,1103.67,108000
27,Projet Renovation,Residential,"Moscow, Russia",7,71009,9,86,Basement,Steel,Stucco,Shingles,central system gaz,ABS_Pipe,286,True,4253.27,133500
